#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   123   0.322976E+04  -0.350448E+02   0.291579E-03  -0.350448E+02   0.979308E+00  -0.687572E-06   0.291579E-03  -0.687572E-06   0.884422E-07
   124   0.326205E+04  -0.355452E+02   0.288334E-03  -0.355452E+02   0.986680E+00  -0.713989E-06   0.288334E-03  -0.713989E-06   0.878990E-07
   125   0.329432E+04  -0.360350E+02   0.285145E-03  -0.360350E+02   0.993629E+00  -0.740087E-06   0.285145E-03  -0.740087E-06   0.873597E-07
   126   0.332667E+04  -0.365136E+02   0.282011E-03  -0.365136E+02   0.100023E+01  -0.765329E-06   0.282011E-03  -0.765329E-06   0.868245E-07
   127   0.335899E+04  -0.369801E+02   0.278934E-03  -0.369801E+02   0.100634E+01  -0.789182E-06   0.278934E-03  -0.789182E-06   0.862934E-07
   128   0.339131E+04  -0.374339E+02   0.275913E-03  -0.374339E+02   0.101210E+01  -0.811112E-06   0.275913E-03  -0.811112E-06   0.857664E-07
   129   0.342369E+04  -0.378741E+02   0.272948E-03  -0.378741E+02   0.101736E+01  -0.830585E-06   0.272948E-03  -0.830585E-06   0.852434E-07
   130   0.345606E+04  -0.383001E+02   0.270040E-03  -0.383001E+02   0.102213E+01  -0.847066E-06   0.270040E-03  -0.847066E-06   0.847245E-07
   131   0.348841E+04  -0.387133E+02   0.267188E-03  -0.387133E+02   0.102656E+01  -0.860148E-06   0.267188E-03  -0.860148E-06   0.842096E-07
   132   0.352082E+04  -0.391108E+02   0.264391E-03  -0.391108E+02   0.103048E+01  -0.869935E-06   0.264391E-03  -0.869935E-06   0.836988E-07
   133   0.355315E+04  -0.394948E+02   0.261646E-03  -0.394948E+02   0.103399E+01  -0.876658E-06   0.261646E-03  -0.876658E-06   0.831920E-07
   134   0.358547E+04  -0.398611E+02   0.258953E-03  -0.398611E+02   0.103708E+01  -0.880548E-06   0.258953E-03  -0.880548E-06   0.826892E-07
   135   0.361778E+04  -0.402124E+02   0.256310E-03  -0.402124E+02   0.103967E+01  -0.881834E-06   0.256310E-03  -0.881834E-06   0.821904E-07
   136   0.364993E+04  -0.405453E+02   0.253714E-03  -0.405453E+02   0.104176E+01  -0.880748E-06   0.253714E-03  -0.880748E-06   0.816955E-07
   137   0.368209E+04  -0.408619E+02   0.251163E-03  -0.408619E+02   0.104343E+01  -0.877521E-06   0.251163E-03  -0.877521E-06   0.812045E-07
   138   0.371417E+04  -0.411609E+02   0.248657E-03  -0.411609E+02   0.104461E+01  -0.872383E-06   0.248657E-03  -0.872383E-06   0.807174E-07
   139   0.374603E+04  -0.414415E+02   0.246193E-03  -0.414415E+02   0.104544E+01  -0.865565E-06   0.246193E-03  -0.865565E-06   0.802342E-07
   140   0.377796E+04  -0.417046E+02   0.243769E-03  -0.417046E+02   0.104569E+01  -0.857297E-06   0.243769E-03  -0.857297E-06   0.797549E-07
