#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
  1703   0.365119E+03  -0.326622E+02   0.100685E-06  -0.326622E+02   0.129824E+02   0.115739E-06   0.100685E-06   0.115739E-06   0.193442E-08
  1704   0.365673E+03  -0.325988E+02   0.990687E-07  -0.325988E+02   0.128482E+02   0.114543E-06   0.990687E-07   0.114543E-06   0.193192E-08
  1705   0.366222E+03  -0.325280E+02   0.975152E-07  -0.325280E+02   0.127153E+02   0.113340E-06   0.975152E-07   0.113340E-06   0.192942E-08
  1706   0.366759E+03  -0.324498E+02   0.960247E-07  -0.324498E+02   0.125808E+02   0.112131E-06   0.960247E-07   0.112131E-06   0.192693E-08
  1707   0.367297E+03  -0.323657E+02   0.945967E-07  -0.323657E+02   0.124476E+02   0.110916E-06   0.945967E-07   0.110916E-06   0.192443E-08
  1708   0.367823E+03  -0.322734E+02   0.932311E-07  -0.322734E+02   0.123157E+02   0.109695E-06   0.932311E-07   0.109695E-06   0.192195E-08
  1709   0.368343E+03  -0.321745E+02   0.919275E-07  -0.321745E+02   0.121844E+02   0.108468E-06   0.919275E-07   0.108468E-06   0.191947E-08
  1710   0.368851E+03  -0.320681E+02   0.906856E-07  -0.320681E+02   0.120544E+02   0.107235E-06   0.906856E-07   0.107235E-06   0.191699E-08
  1711   0.369345E+03  -0.319543E+02   0.895049E-07  -0.319543E+02   0.119251E+02   0.105996E-06   0.895049E-07   0.105996E-06   0.191451E-08
  1712   0.369842E+03  -0.318345E+02   0.883854E-07  -0.318345E+02   0.117948E+02   0.104752E-06   0.883854E-07   0.104752E-06   0.191204E-08
  1713   0.370318E+03  -0.317079E+02   0.873265E-07  -0.317079E+02   0.116659E+02   0.103503E-06   0.873265E-07   0.103503E-06   0.190958E-08
  1714   0.370782E+03  -0.315739E+02   0.863280E-07  -0.315739E+02   0.115383E+02   0.102248E-06   0.863280E-07   0.102248E-06   0.190712E-08
  1715   0.371232E+03  -0.314346E+02   0.853896E-07  -0.314346E+02   0.114105E+02   0.100989E-06   0.853896E-07   0.100989E-06   0.190466E-08
  1716   0.371685E+03  -0.312879E+02   0.845110E-07  -0.312879E+02   0.112841E+02   0.997242E-07   0.845110E-07   0.997242E-07   0.190220E-08
  1717   0.372117E+03  -0.311351E+02   0.836918E-07  -0.311351E+02   0.111583E+02   0.984551E-07   0.836918E-07   0.984551E-07   0.189975E-08
  1718   0.372528E+03  -0.309762E+02   0.829317E-07  -0.309762E+02   0.110338E+02   0.971814E-07   0.829317E-07   0.971814E-07   0.189731E-08
  1719   0.372934E+03  -0.308106E+02   0.822304E-07  -0.308106E+02   0.109099E+02   0.959032E-07   0.822304E-07   0.959032E-07   0.189487E-08
  1720   0.373334E+03  -0.306396E+02   0.815876E-07  -0.306396E+02   0.107873E+02   0.946209E-07   0.815876E-07   0.946209E-07   0.189243E-08
  1721   0.373714E+03  -0.304619E+02   0.810030E-07  -0.304619E+02   0.106661E+02   0.933344E-07   0.810030E-07   0.933344E-07   0.189000E-08
  1722   0.374088E+03  -0.302788E+02   0.804762E-07  -0.302788E+02   0.105447E+02   0.920439E-07   0.804762E-07   0.920439E-07   0.188757E-08
  1723   0.374442E+03  -0.300896E+02   0.800069E-07  -0.300896E+02   0.104247E+02   0.907496E-07   0.800069E-07   0.907496E-07   0.188514E-08
  1724   0.374775E+03  -0.298951E+02   0.795948E-07  -0.298951E+02   0.103068E+02   0.894516E-07   0.795948E-07   0.894516E-07   0.188272E-08
  1725   0.375094E+03  -0.296944E+02   0.792396E-07  -0.296944E+02   0.101887E+02   0.881502E-07   0.792396E-07   0.881502E-07   0.188030E-08
  1726   0.375401E+03  -0.294891E+02   0.789409E-07  -0.294891E+02   0.100727E+02   0.868453E-07   0.789409E-07   0.868453E-07   0.187789E-08
  1727   0.375694E+03  -0.292777E+02   0.786986E-07  -0.292777E+02   0.995728E+01   0.855373E-07   0.786986E-07   0.855373E-07   0.187548E-08
  1728   0.375967E+03  -0.290616E+02   0.785121E-07  -0.290616E+02   0.984471E+01   0.842262E-07   0.785121E-07   0.842262E-07   0.187308E-08
  1729   0.376233E+03  -0.288401E+02   0.783812E-07  -0.288401E+02   0.973274E+01   0.829122E-07   0.783812E-07   0.829122E-07   0.187067E-08
  1730   0.376465E+03  -0.286125E+02   0.783057E-07  -0.286125E+02   0.962138E+01   0.815954E-07   0.783057E-07   0.815954E-07   0.186828E-08
  1731   0.376690E+03  -0.283816E+02   0.782851E-07  -0.283816E+02   0.951136E+01   0.802760E-07   0.782851E-07   0.802760E-07   0.186588E-08
  1732   0.376894E+03  -0.281445E+02   0.783191E-07  -0.281445E+02   0.940269E+01   0.789541E-07   0.783191E-07   0.789541E-07   0.186349E-08
  1733   0.377085E+03  -0.279035E+02   0.784075E-07  -0.279035E+02   0.929611E+01   0.776299E-07   0.784075E-07   0.776299E-07   0.186111E-08
  1734   0.377256E+03  -0.276578E+02   0.785499E-07  -0.276578E+02   0.919013E+01   0.763036E-07   0.785499E-07   0.763036E-07   0.185873E-08
  1735   0.377405E+03  -0.274066E+02   0.787460E-07  -0.274066E+02   0.908625E+01   0.749752E-07   0.787460E-07   0.749752E-07   0.185635E-08
  1736   0.377541E+03  -0.271528E+02   0.789955E-07  -0.271528E+02   0.898298E+01   0.736450E-07   0.789955E-07   0.736450E-07   0.185397E-08
  1737   0.377656E+03  -0.268936E+02   0.792980E-07  -0.268936E+02   0.888254E+01   0.723131E-07   0.792980E-07   0.723131E-07   0.185160E-08
  1738   0.377750E+03  -0.266304E+02   0.796532E-07  -0.266304E+02   0.878271E+01   0.709796E-07   0.796532E-07   0.709796E-07   0.184924E-08
  1739   0.377838E+03  -0.263638E+02   0.800609E-07  -0.263638E+02   0.868498E+01   0.696447E-07   0.800609E-07   0.696447E-07   0.184688E-08
  1740   0.377890E+03  -0.260933E+02   0.805207E-07  -0.260933E+02   0.858860E+01   0.683085E-07   0.805207E-07   0.683085E-07   0.184452E-08
  1741   0.377943E+03  -0.258179E+02   0.810322E-07  -0.258179E+02   0.849357E+01   0.669712E-07   0.810322E-07   0.669712E-07   0.184216E-08
  1742   0.377961E+03  -0.255407E+02   0.815952E-07  -0.255407E+02   0.840065E+01   0.656329E-07   0.815952E-07   0.656329E-07   0.183981E-08
  1743   0.377964E+03  -0.252587E+02   0.822094E-07  -0.252587E+02   0.830907E+01   0.642939E-07   0.822094E-07   0.642939E-07   0.183747E-08
  1744   0.377947E+03  -0.249740E+02   0.828744E-07  -0.249740E+02   0.821960E+01   0.629542E-07   0.828744E-07   0.629542E-07   0.183512E-08
  1745   0.377909E+03  -0.246860E+02   0.835899E-07  -0.246860E+02   0.813075E+01   0.616139E-07   0.835899E-07   0.616139E-07   0.183278E-08
  1746   0.377849E+03  -0.243947E+02   0.843555E-07  -0.243947E+02   0.804473E+01   0.602733E-07   0.843555E-07   0.602733E-07   0.183045E-08
  1747   0.377776E+03  -0.241007E+02   0.851710E-07  -0.241007E+02   0.796082E+01   0.589325E-07   0.851710E-07   0.589325E-07   0.182812E-08
  1748   0.377674E+03  -0.238041E+02   0.860361E-07  -0.238041E+02   0.787901E+01   0.575917E-07   0.860361E-07   0.575917E-07   0.182579E-08
  1749   0.377551E+03  -0.235033E+02   0.869504E-07  -0.235033E+02   0.779782E+01   0.562509E-07   0.869504E-07   0.562509E-07   0.182347E-08
  1750   0.377406E+03  -0.232014E+02   0.879136E-07  -0.232014E+02   0.771873E+01   0.549104E-07   0.879136E-07   0.549104E-07   0.182115E-08
  1751   0.377241E+03  -0.228975E+02   0.889254E-07  -0.228975E+02   0.764101E+01   0.535702E-07   0.889254E-07   0.535702E-07   0.181883E-08
  1752   0.377061E+03  -0.225895E+02   0.899852E-07  -0.225895E+02   0.756465E+01   0.522306E-07   0.899852E-07   0.522306E-07   0.181652E-08
  1753   0.376860E+03  -0.222810E+02   0.910926E-07  -0.222810E+02   0.748966E+01   0.508916E-07   0.910926E-07   0.508916E-07   0.181421E-08
  1754   0.376638E+03  -0.219699E+02   0.922469E-07  -0.219699E+02   0.741752E+01   0.495534E-07   0.922469E-07   0.495534E-07   0.181191E-08
  1755   0.376394E+03  -0.216568E+02   0.934477E-07  -0.216568E+02   0.734802E+01   0.482161E-07   0.934477E-07   0.482161E-07   0.180960E-08
  1756   0.376137E+03  -0.213418E+02   0.946944E-07  -0.213418E+02   0.727937E+01   0.468798E-07   0.946944E-07   0.468798E-07   0.180731E-08
  1757   0.375850E+03  -0.210256E+02   0.959865E-07  -0.210256E+02   0.721270E+01   0.455447E-07   0.959865E-07   0.455447E-07   0.180501E-08
  1758   0.375534E+03  -0.207082E+02   0.973235E-07  -0.207082E+02   0.714785E+01   0.442109E-07   0.973235E-07   0.442109E-07   0.180272E-08
  1759   0.375212E+03  -0.203896E+02   0.987047E-07  -0.203896E+02   0.708498E+01   0.428785E-07   0.987047E-07   0.428785E-07   0.180044E-08
  1760   0.374860E+03  -0.200690E+02   0.100130E-06  -0.200690E+02   0.702417E+01   0.415477E-07   0.100130E-06   0.415477E-07   0.179816E-08
  1761   0.374487E+03  -0.197480E+02   0.101598E-06  -0.197480E+02   0.696526E+01   0.402185E-07   0.101598E-06   0.402185E-07   0.179588E-08
  1762   0.374093E+03  -0.194258E+02   0.103109E-06  -0.194258E+02   0.690819E+01   0.388912E-07   0.103109E-06   0.388912E-07   0.179360E-08
  1763   0.373683E+03  -0.191024E+02   0.104662E-06  -0.191024E+02   0.685326E+01   0.375658E-07   0.104662E-06   0.375658E-07   0.179133E-08
  1764   0.373260E+03  -0.187793E+02   0.106257E-06  -0.187793E+02   0.680040E+01   0.362424E-07   0.106257E-06   0.362424E-07   0.178906E-08
  1765   0.372800E+03  -0.184550E+02   0.107893E-06  -0.184550E+02   0.674930E+01   0.349213E-07   0.107893E-06   0.349213E-07   0.178680E-08
  1766   0.372325E+03  -0.181310E+02   0.109570E-06  -0.181310E+02   0.670012E+01   0.336025E-07   0.109570E-06   0.336025E-07   0.178454E-08
  1767   0.371828E+03  -0.178058E+02   0.111287E-06  -0.178058E+02   0.665287E+01   0.322861E-07   0.111287E-06   0.322861E-07   0.178228E-08
  1768   0.371310E+03  -0.174809E+02   0.113043E-06  -0.174809E+02   0.660770E+01   0.309723E-07   0.113043E-06   0.309723E-07   0.178003E-08
  1769   0.370777E+03  -0.171570E+02   0.114838E-06  -0.171570E+02   0.656446E+01   0.296612E-07   0.114838E-06   0.296612E-07   0.177778E-08
  1770   0.370214E+03  -0.168319E+02   0.116672E-06  -0.168319E+02   0.652307E+01   0.283530E-07   0.116672E-06   0.283530E-07   0.177554E-08
  1771   0.369637E+03  -0.165078E+02   0.118543E-06  -0.165078E+02   0.648377E+01   0.270477E-07   0.118543E-06   0.270477E-07   0.177329E-08
  1772   0.369045E+03  -0.161847E+02   0.120452E-06  -0.161847E+02   0.644633E+01   0.257456E-07   0.120452E-06   0.257456E-07   0.177106E-08
  1773   0.368416E+03  -0.158605E+02   0.122398E-06  -0.158605E+02   0.641083E+01   0.244466E-07   0.122398E-06   0.244466E-07   0.176882E-08
  1774   0.367780E+03  -0.155387E+02   0.124380E-06  -0.155387E+02   0.637735E+01   0.231511E-07   0.124380E-06   0.231511E-07   0.176659E-08
  1775   0.367121E+03  -0.152173E+02   0.126398E-06  -0.152173E+02   0.634581E+01   0.218590E-07   0.126398E-06   0.218590E-07   0.176436E-08
  1776   0.366448E+03  -0.148961E+02   0.128451E-06  -0.148961E+02   0.631615E+01   0.205705E-07   0.128451E-06   0.205705E-07   0.176214E-08
  1777   0.365737E+03  -0.145774E+02   0.130539E-06  -0.145774E+02   0.628859E+01   0.192858E-07   0.130539E-06   0.192858E-07   0.175992E-08
  1778   0.365019E+03  -0.142590E+02   0.132661E-06  -0.142590E+02   0.626283E+01   0.180049E-07   0.132661E-06   0.180049E-07   0.175770E-08
  1779   0.364279E+03  -0.139423E+02   0.134817E-06  -0.139423E+02   0.623911E+01   0.167281E-07   0.134817E-06   0.167281E-07   0.175549E-08
  1780   0.363523E+03  -0.136267E+02   0.137006E-06  -0.136267E+02   0.621727E+01   0.154553E-07   0.137006E-06   0.154553E-07   0.175328E-08
  1781   0.362753E+03  -0.133128E+02   0.139227E-06  -0.133128E+02   0.619731E+01   0.141869E-07   0.139227E-06   0.141869E-07   0.175107E-08
  1782   0.361945E+03  -0.130007E+02   0.141481E-06  -0.130007E+02   0.617933E+01   0.129228E-07   0.141481E-06   0.129228E-07   0.174887E-08
  1783   0.361129E+03  -0.126903E+02   0.143766E-06  -0.126903E+02   0.616323E+01   0.116632E-07   0.143766E-06   0.116632E-07   0.174667E-08
  1784   0.360306E+03  -0.123810E+02   0.146082E-06  -0.123810E+02   0.614895E+01   0.104083E-07   0.146082E-06   0.104083E-07   0.174448E-08
  1785   0.359453E+03  -0.120749E+02   0.148428E-06  -0.120749E+02   0.613665E+01   0.915819E-08   0.148428E-06   0.915819E-08   0.174229E-08
  1786   0.358584E+03  -0.117706E+02   0.150805E-06  -0.117706E+02   0.612617E+01   0.791296E-08   0.150805E-06   0.791296E-08   0.174010E-08
  1787   0.357700E+03  -0.114680E+02   0.153211E-06  -0.114680E+02   0.611767E+01   0.667277E-08   0.153211E-06   0.667277E-08   0.173791E-08
  1788   0.356801E+03  -0.111694E+02   0.155645E-06  -0.111694E+02   0.611093E+01   0.543774E-08   0.155645E-06   0.543774E-08   0.173573E-08
  1789   0.355878E+03  -0.108718E+02   0.158108E-06  -0.108718E+02   0.610603E+01   0.420800E-08   0.158108E-06   0.420800E-08   0.173355E-08
  1790   0.354933E+03  -0.105775E+02   0.160599E-06  -0.105775E+02   0.610296E+01   0.298368E-08   0.160599E-06   0.298368E-08   0.173138E-08
  1791   0.353980E+03  -0.102864E+02   0.163117E-06  -0.102864E+02   0.610165E+01   0.176492E-08   0.163117E-06   0.176492E-08   0.172921E-08
  1792   0.353012E+03  -0.999704E+01   0.165662E-06  -0.999704E+01   0.610219E+01   0.551833E-09   0.165662E-06   0.551833E-09   0.172704E-08
  1793   0.352013E+03  -0.971093E+01   0.168233E-06  -0.971093E+01   0.610450E+01  -0.655444E-09   0.168233E-06  -0.655444E-09   0.172488E-08
  1794   0.351013E+03  -0.942805E+01   0.170830E-06  -0.942805E+01   0.610850E+01  -0.185678E-08   0.170830E-06  -0.185678E-08   0.172272E-08
  1795   0.349998E+03  -0.914841E+01   0.173451E-06  -0.914841E+01   0.611443E+01  -0.305206E-08   0.173451E-06  -0.305206E-08   0.172056E-08
  1796   0.348937E+03  -0.887126E+01   0.176098E-06  -0.887126E+01   0.612200E+01  -0.424113E-08   0.176098E-06  -0.424113E-08   0.171841E-08
  1797   0.347898E+03  -0.859809E+01   0.178768E-06  -0.859809E+01   0.613119E+01  -0.542389E-08   0.178768E-06  -0.542389E-08   0.171626E-08
  1798   0.346828E+03  -0.832742E+01   0.181462E-06  -0.832742E+01   0.614209E+01  -0.660018E-08   0.181462E-06  -0.660018E-08   0.171411E-08
  1799   0.345743E+03  -0.806071E+01   0.184179E-06  -0.806071E+01   0.615478E+01  -0.776990E-08   0.184179E-06  -0.776990E-08   0.171197E-08
  1800   0.344649E+03  -0.779799E+01   0.186918E-06  -0.779799E+01   0.616912E+01  -0.893291E-08   0.186918E-06  -0.893291E-08   0.170983E-08
  1801   0.343546E+03  -0.753820E+01   0.189680E-06  -0.753820E+01   0.618502E+01  -0.100891E-07   0.189680E-06  -0.100891E-07   0.170769E-08
  1802   0.342435E+03  -0.728254E+01   0.192462E-06  -0.728254E+01   0.620249E+01  -0.112384E-07   0.192462E-06  -0.112384E-07   0.170556E-08
  1803   0.341301E+03  -0.703117E+01   0.195266E-06  -0.703117E+01   0.622161E+01  -0.123807E-07   0.195266E-06  -0.123807E-07   0.170343E-08
  1804   0.340144E+03  -0.678268E+01   0.198091E-06  -0.678268E+01   0.624223E+01  -0.135160E-07   0.198091E-06  -0.135160E-07   0.170131E-08
  1805   0.338978E+03  -0.653864E+01   0.200935E-06  -0.653864E+01   0.626450E+01  -0.146442E-07   0.200935E-06  -0.146442E-07   0.169918E-08
  1806   0.337811E+03  -0.629862E+01   0.203799E-06  -0.629862E+01   0.628835E+01  -0.157653E-07   0.203799E-06  -0.157653E-07   0.169706E-08
  1807   0.336620E+03  -0.606285E+01   0.206682E-06  -0.606285E+01   0.631371E+01  -0.168792E-07   0.206682E-06  -0.168792E-07   0.169495E-08
  1808   0.335421E+03  -0.583111E+01   0.209584E-06  -0.583111E+01   0.634035E+01  -0.179858E-07   0.209584E-06  -0.179858E-07   0.169284E-08
  1809   0.334214E+03  -0.560378E+01   0.212504E-06  -0.560378E+01   0.636836E+01  -0.190852E-07   0.212504E-06  -0.190852E-07   0.169073E-08
  1810   0.332997E+03  -0.538086E+01   0.215442E-06  -0.538086E+01   0.639796E+01  -0.201772E-07   0.215442E-06  -0.201772E-07   0.168862E-08
  1811   0.331758E+03  -0.516230E+01   0.218398E-06  -0.516230E+01   0.642892E+01  -0.212617E-07   0.218398E-06  -0.212617E-07   0.168652E-08
  1812   0.330517E+03  -0.494840E+01   0.221370E-06  -0.494840E+01   0.646133E+01  -0.223388E-07   0.221370E-06  -0.223388E-07   0.168442E-08
  1813   0.329268E+03  -0.473901E+01   0.224359E-06  -0.473901E+01   0.649504E+01  -0.234083E-07   0.224359E-06  -0.234083E-07   0.168232E-08
  1814   0.328003E+03  -0.453430E+01   0.227363E-06  -0.453430E+01   0.653004E+01  -0.244702E-07   0.227363E-06  -0.244702E-07   0.168023E-08
  1815   0.326736E+03  -0.433427E+01   0.230384E-06  -0.433427E+01   0.656635E+01  -0.255244E-07   0.230384E-06  -0.255244E-07   0.167814E-08
  1816   0.325461E+03  -0.413915E+01   0.233419E-06  -0.413915E+01   0.660389E+01  -0.265710E-07   0.233419E-06  -0.265710E-07   0.167606E-08
  1817   0.324170E+03  -0.394865E+01   0.236469E-06  -0.394865E+01   0.664266E+01  -0.276097E-07   0.236469E-06  -0.276097E-07   0.167397E-08
  1818   0.322870E+03  -0.376309E+01   0.239533E-06  -0.376309E+01   0.668266E+01  -0.286406E-07   0.239533E-06  -0.286406E-07   0.167190E-08
  1819   0.321547E+03  -0.358253E+01   0.242610E-06  -0.358253E+01   0.672397E+01  -0.296637E-07   0.242610E-06  -0.296637E-07   0.166982E-08
  1820   0.320237E+03  -0.340692E+01   0.245701E-06  -0.340692E+01   0.676623E+01  -0.306787E-07   0.245701E-06  -0.306787E-07   0.166775E-08
  1821   0.318926E+03  -0.323634E+01   0.248805E-06  -0.323634E+01   0.680972E+01  -0.316858E-07   0.248805E-06  -0.316858E-07   0.166568E-08
  1822   0.317598E+03  -0.307087E+01   0.251921E-06  -0.307087E+01   0.685423E+01  -0.326848E-07   0.251921E-06  -0.326848E-07   0.166361E-08
  1823   0.316292E+03  -0.291051E+01   0.255048E-06  -0.291051E+01   0.689992E+01  -0.336756E-07   0.255048E-06  -0.336756E-07   0.166155E-08
  1824   0.314955E+03  -0.275521E+01   0.258187E-06  -0.275521E+01   0.694633E+01  -0.346583E-07   0.258187E-06  -0.346583E-07   0.165949E-08
  1825   0.313616E+03  -0.260526E+01   0.261337E-06  -0.260526E+01   0.699369E+01  -0.356327E-07   0.261337E-06  -0.356327E-07   0.165743E-08
  1826   0.312269E+03  -0.246045E+01   0.264498E-06  -0.246045E+01   0.704282E+01  -0.365988E-07   0.264498E-06  -0.365988E-07   0.165538E-08
  1827   0.310928E+03  -0.232087E+01   0.267669E-06  -0.232087E+01   0.709254E+01  -0.375565E-07   0.267669E-06  -0.375565E-07   0.165333E-08
  1828   0.309570E+03  -0.218667E+01   0.270849E-06  -0.218667E+01   0.714306E+01  -0.385059E-07   0.270849E-06  -0.385059E-07   0.165128E-08
  1829   0.308211E+03  -0.205771E+01   0.274038E-06  -0.205771E+01   0.719366E+01  -0.394467E-07   0.274038E-06  -0.394467E-07   0.164924E-08
  1830   0.306851E+03  -0.193407E+01   0.277236E-06  -0.193407E+01   0.724655E+01  -0.403790E-07   0.277236E-06  -0.403790E-07   0.164720E-08
  1831   0.305490E+03  -0.181583E+01   0.280442E-06  -0.181583E+01   0.729952E+01  -0.413027E-07   0.280442E-06  -0.413027E-07   0.164516E-08
  1832   0.304119E+03  -0.170301E+01   0.283655E-06  -0.170301E+01   0.735331E+01  -0.422177E-07   0.283655E-06  -0.422177E-07   0.164313E-08
  1833   0.302755E+03  -0.159547E+01   0.286876E-06  -0.159547E+01   0.740791E+01  -0.431241E-07   0.286876E-06  -0.431241E-07   0.164110E-08
  1834   0.301389E+03  -0.149357E+01   0.290104E-06  -0.149357E+01   0.746260E+01  -0.440216E-07   0.290104E-06  -0.440216E-07   0.163907E-08
  1835   0.300014E+03  -0.139681E+01   0.293338E-06  -0.139681E+01   0.751885E+01  -0.449103E-07   0.293338E-06  -0.449103E-07   0.163705E-08
  1836   0.298638E+03  -0.130573E+01   0.296578E-06  -0.130573E+01   0.757667E+01  -0.457902E-07   0.296578E-06  -0.457902E-07   0.163503E-08
  1837   0.297267E+03  -0.122002E+01   0.299824E-06  -0.122002E+01   0.763309E+01  -0.466611E-07   0.299824E-06  -0.466611E-07   0.163301E-08
  1838   0.295895E+03  -0.113984E+01   0.303074E-06  -0.113984E+01   0.769108E+01  -0.475229E-07   0.303074E-06  -0.475229E-07   0.163099E-08
  1839   0.294515E+03  -0.106506E+01   0.306329E-06  -0.106506E+01   0.774991E+01  -0.483757E-07   0.306329E-06  -0.483757E-07   0.162898E-08
  1840   0.293147E+03  -0.995836E+00   0.309588E-06  -0.995836E+00   0.780809E+01  -0.492194E-07   0.309588E-06  -0.492194E-07   0.162697E-08
  1841   0.291778E+03  -0.932021E+00   0.312851E-06  -0.932021E+00   0.786785E+01  -0.500539E-07   0.312851E-06  -0.500539E-07   0.162497E-08
  1842   0.290408E+03  -0.873699E+00   0.316116E-06  -0.873699E+00   0.792770E+01  -0.508791E-07   0.316116E-06  -0.508791E-07   0.162297E-08
  1843   0.289036E+03  -0.820878E+00   0.319385E-06  -0.820878E+00   0.798765E+01  -0.516951E-07   0.319385E-06  -0.516951E-07   0.162097E-08
  1844   0.287670E+03  -0.773418E+00   0.322655E-06  -0.773418E+00   0.804845E+01  -0.525017E-07   0.322655E-06  -0.525017E-07   0.161897E-08
  1845   0.286324E+03  -0.731477E+00   0.325928E-06  -0.731477E+00   0.810934E+01  -0.532988E-07   0.325928E-06  -0.532988E-07   0.161698E-08
  1846   0.284955E+03  -0.694838E+00   0.329201E-06  -0.694838E+00   0.817109E+01  -0.540865E-07   0.329201E-06  -0.540865E-07   0.161499E-08
  1847   0.283599E+03  -0.663807E+00   0.332476E-06  -0.663807E+00   0.823294E+01  -0.548647E-07   0.332476E-06  -0.548647E-07   0.161300E-08
  1848   0.282241E+03  -0.638021E+00   0.335751E-06  -0.638021E+00   0.829490E+01  -0.556332E-07   0.335751E-06  -0.556332E-07   0.161102E-08
  1849   0.280889E+03  -0.617636E+00   0.339026E-06  -0.617636E+00   0.835698E+01  -0.563921E-07   0.339026E-06  -0.563921E-07   0.160904E-08
  1850   0.279543E+03  -0.602587E+00   0.342300E-06  -0.602587E+00   0.841916E+01  -0.571413E-07   0.342300E-06  -0.571413E-07   0.160706E-08
  1851   0.278180E+03  -0.592881E+00   0.345573E-06  -0.592881E+00   0.848221E+01  -0.578807E-07   0.345573E-06  -0.578807E-07   0.160509E-08
  1852   0.276853E+03  -0.588526E+00   0.348845E-06  -0.588526E+00   0.854611E+01  -0.586104E-07   0.348845E-06  -0.586104E-07   0.160312E-08
  1853   0.275509E+03  -0.589382E+00   0.352115E-06  -0.589382E+00   0.860864E+01  -0.593302E-07   0.352115E-06  -0.593302E-07   0.160115E-08
  1854   0.274179E+03  -0.595605E+00   0.355382E-06  -0.595605E+00   0.867129E+01  -0.600403E-07   0.355382E-06  -0.600403E-07   0.159918E-08
  1855   0.272854E+03  -0.606982E+00   0.358646E-06  -0.606982E+00   0.873331E+01  -0.607405E-07   0.358646E-06  -0.607405E-07   0.159722E-08
  1856   0.271543E+03  -0.623445E+00   0.361906E-06  -0.623445E+00   0.879618E+01  -0.614309E-07   0.361906E-06  -0.614309E-07   0.159526E-08
  1857   0.270230E+03  -0.645151E+00   0.365162E-06  -0.645151E+00   0.885991E+01  -0.621115E-07   0.365162E-06  -0.621115E-07   0.159331E-08
  1858   0.268923E+03  -0.671960E+00   0.368414E-06  -0.671960E+00   0.892227E+01  -0.627822E-07   0.368414E-06  -0.627822E-07   0.159135E-08
  1859   0.267629E+03  -0.703955E+00   0.371660E-06  -0.703955E+00   0.898548E+01  -0.634431E-07   0.371660E-06  -0.634431E-07   0.158940E-08
  1860   0.266334E+03  -0.740846E+00   0.374900E-06  -0.740846E+00   0.904733E+01  -0.640941E-07   0.374900E-06  -0.640941E-07   0.158746E-08
  1861   0.265059E+03  -0.782864E+00   0.378134E-06  -0.782864E+00   0.911002E+01  -0.647353E-07   0.378134E-06  -0.647353E-07   0.158551E-08
  1862   0.263791E+03  -0.829720E+00   0.381360E-06  -0.829720E+00   0.917209E+01  -0.653665E-07   0.381360E-06  -0.653665E-07   0.158357E-08
  1863   0.262514E+03  -0.881423E+00   0.384580E-06  -0.881423E+00   0.923426E+01  -0.659879E-07   0.384580E-06  -0.659879E-07   0.158163E-08
  1864   0.261265E+03  -0.938054E+00   0.387791E-06  -0.938054E+00   0.929729E+01  -0.665994E-07   0.387791E-06  -0.665994E-07   0.157970E-08
  1865   0.260014E+03  -0.999474E+00   0.390994E-06  -0.999474E+00   0.935895E+01  -0.672009E-07   0.390994E-06  -0.672009E-07   0.157777E-08
  1866   0.258784E+03  -0.106569E+01   0.394188E-06  -0.106569E+01   0.941997E+01  -0.677925E-07   0.394188E-06  -0.677925E-07   0.157584E-08
  1867   0.257546E+03  -0.113641E+01   0.397372E-06  -0.113641E+01   0.948111E+01  -0.683742E-07   0.397372E-06  -0.683742E-07   0.157391E-08
  1868   0.256328E+03  -0.121195E+01   0.400546E-06  -0.121195E+01   0.954161E+01  -0.689459E-07   0.400546E-06  -0.689459E-07   0.157199E-08
  1869   0.255124E+03  -0.129194E+01   0.403709E-06  -0.129194E+01   0.960147E+01  -0.695077E-07   0.403709E-06  -0.695077E-07   0.157007E-08
  1870   0.253926E+03  -0.137660E+01   0.406861E-06  -0.137660E+01   0.966145E+01  -0.700595E-07   0.406861E-06  -0.700595E-07   0.156815E-08
  1871   0.252735E+03  -0.146558E+01   0.410001E-06  -0.146558E+01   0.972154E+01  -0.706013E-07   0.410001E-06  -0.706013E-07   0.156624E-08
  1872   0.251564E+03  -0.155912E+01   0.413129E-06  -0.155912E+01   0.978024E+01  -0.711332E-07   0.413129E-06  -0.711332E-07   0.156433E-08
  1873   0.250399E+03  -0.165691E+01   0.416244E-06  -0.165691E+01   0.983906E+01  -0.716550E-07   0.416244E-06  -0.716550E-07   0.156242E-08
  1874   0.249248E+03  -0.175904E+01   0.419346E-06  -0.175904E+01   0.989650E+01  -0.721668E-07   0.419346E-06  -0.721668E-07   0.156051E-08
  1875   0.248110E+03  -0.186537E+01   0.422434E-06  -0.186537E+01   0.995404E+01  -0.726687E-07   0.422434E-06  -0.726687E-07   0.155861E-08
  1876   0.246979E+03  -0.197576E+01   0.425507E-06  -0.197576E+01   0.100110E+02  -0.731604E-07   0.425507E-06  -0.731604E-07   0.155671E-08
  1877   0.245861E+03  -0.209030E+01   0.428565E-06  -0.209030E+01   0.100672E+02  -0.736422E-07   0.428565E-06  -0.736422E-07   0.155481E-08
  1878   0.244750E+03  -0.220884E+01   0.431608E-06  -0.220884E+01   0.101221E+02  -0.741139E-07   0.431608E-06  -0.741139E-07   0.155292E-08
