#    L    TT             EE             TE             PP             TP          
   142   0.384140E+04   0.104479E+01  -0.421722E+02   0.362698E+07   0.405058E+04
   143   0.387306E+04   0.104370E+01  -0.423775E+02   0.360579E+07   0.401166E+04
   144   0.390450E+04   0.104211E+01  -0.425633E+02   0.358477E+07   0.397329E+04
   145   0.393581E+04   0.104018E+01  -0.427287E+02   0.356391E+07   0.393545E+04
   146   0.396721E+04   0.103767E+01  -0.428739E+02   0.354321E+07   0.389809E+04
   147   0.399825E+04   0.103481E+01  -0.429973E+02   0.352267E+07   0.386119E+04
   148   0.402916E+04   0.103145E+01  -0.431006E+02   0.350229E+07   0.382472E+04
   149   0.406001E+04   0.102767E+01  -0.431822E+02   0.348206E+07   0.378865E+04
   150   0.409059E+04   0.102354E+01  -0.432400E+02   0.346200E+07   0.375295E+04
   151   0.412105E+04   0.101898E+01  -0.432770E+02   0.344209E+07   0.371759E+04
   152   0.415123E+04   0.101392E+01  -0.432917E+02   0.342234E+07   0.368257E+04
   153   0.418129E+04   0.100850E+01  -0.432819E+02   0.340274E+07   0.364789E+04
   154   0.421114E+04   0.100274E+01  -0.432498E+02   0.338330E+07   0.361356E+04
   155   0.424080E+04   0.996610E+00  -0.431946E+02   0.336401E+07   0.357958E+04
   156   0.427010E+04   0.990127E+00  -0.431163E+02   0.334487E+07   0.354594E+04
   157   0.429936E+04   0.983285E+00  -0.430135E+02   0.332589E+07   0.351265E+04
   158   0.432833E+04   0.976157E+00  -0.428869E+02   0.330705E+07   0.347971E+04
   159   0.435703E+04   0.968593E+00  -0.427364E+02   0.328836E+07   0.344712E+04
   160   0.438553E+04   0.960741E+00  -0.425605E+02   0.326982E+07   0.341490E+04
   161   0.441382E+04   0.952672E+00  -0.423608E+02   0.325143E+07   0.338303E+04
   162   0.444184E+04   0.944238E+00  -0.421373E+02   0.323319E+07   0.335151E+04
   163   0.446972E+04   0.935512E+00  -0.418883E+02   0.321509E+07   0.332036E+04
   164   0.449718E+04   0.926566E+00  -0.416155E+02   0.319714E+07   0.328958E+04
   165   0.452450E+04   0.917325E+00  -0.413166E+02   0.317933E+07   0.325915E+04
   166   0.455155E+04   0.907935E+00  -0.409930E+02   0.316167E+07   0.322910E+04
   167   0.457839E+04   0.898174E+00  -0.406455E+02   0.314415E+07   0.319941E+04
   168   0.460480E+04   0.888411E+00  -0.402718E+02   0.312677E+07   0.317010E+04
   169   0.463093E+04   0.878347E+00  -0.398719E+02   0.310953E+07   0.314116E+04
   170   0.465678E+04   0.868204E+00  -0.394474E+02   0.309242E+07   0.311259E+04
   171   0.468220E+04   0.857981E+00  -0.389960E+02   0.307546E+07   0.308440E+04
   172   0.470726E+04   0.847602E+00  -0.385190E+02   0.305864E+07   0.305659E+04
   173   0.473189E+04   0.837066E+00  -0.380167E+02   0.304195E+07   0.302916E+04
   174   0.475624E+04   0.826669E+00  -0.374888E+02   0.302540E+07   0.300211E+04
   175   0.478023E+04   0.816112E+00  -0.369348E+02   0.300899E+07   0.297544E+04
   176   0.480371E+04   0.805617E+00  -0.363545E+02   0.299271E+07   0.294916E+04
   177   0.482683E+04   0.795106E+00  -0.357494E+02   0.297656E+07   0.292326E+04
   178   0.484953E+04   0.784802E+00  -0.351181E+02   0.296055E+07   0.289773E+04
   179   0.487179E+04   0.774405E+00  -0.344605E+02   0.294466E+07   0.287255E+04
   180   0.489378E+04   0.764135E+00  -0.337781E+02   0.292891E+07   0.284772E+04
   181   0.491526E+04   0.753990E+00  -0.330708E+02   0.291328E+07   0.282323E+04
   182   0.493631E+04   0.744042E+00  -0.323373E+02   0.289778E+07   0.279907E+04
   183   0.495686E+04   0.734216E+00  -0.315788E+02   0.288241E+07   0.277523E+04
   184   0.497706E+04   0.724582E+00  -0.307948E+02   0.286716E+07   0.275170E+04
   185   0.499684E+04   0.715287E+00  -0.299874E+02   0.285203E+07   0.272848E+04
   186   0.501582E+04   0.706189E+00  -0.291535E+02   0.283703E+07   0.270554E+04
   187   0.503467E+04   0.697425E+00  -0.282948E+02   0.282215E+07   0.268289E+04
   188   0.505303E+04   0.688980E+00  -0.274126E+02   0.280738E+07   0.266051E+04
   189   0.507082E+04   0.680887E+00  -0.265055E+02   0.279274E+07   0.263839E+04
   190   0.508848E+04   0.673197E+00  -0.255756E+02   0.277821E+07   0.261653E+04
   191   0.510528E+04   0.665930E+00  -0.246201E+02   0.276380E+07   0.259491E+04
   192   0.512174E+04   0.659105E+00  -0.236410E+02   0.274950E+07   0.257353E+04
   193   0.513762E+04   0.652766E+00  -0.226398E+02   0.273532E+07   0.255237E+04
   194   0.515317E+04   0.646940E+00  -0.216144E+02   0.272125E+07   0.253143E+04
   195   0.516815E+04   0.641662E+00  -0.205669E+02   0.270729E+07   0.251069E+04
   196   0.518257E+04   0.636967E+00  -0.194966E+02   0.269344E+07   0.249016E+04
   197   0.519657E+04   0.632896E+00  -0.184050E+02   0.267970E+07   0.246981E+04
   198   0.521008E+04   0.629471E+00  -0.172912E+02   0.266606E+07   0.244964E+04
   199   0.522311E+04   0.626727E+00  -0.161560E+02   0.265253E+07   0.242963E+04
   200   0.523565E+04   0.624690E+00  -0.150002E+02   0.263911E+07   0.240979E+04
   201   0.524764E+04   0.623418E+00  -0.138229E+02   0.262579E+07   0.239010E+04
   202   0.525913E+04   0.622917E+00  -0.126257E+02   0.261257E+07   0.237056E+04
   203   0.527007E+04   0.623245E+00  -0.114077E+02   0.259946E+07   0.235116E+04
   204   0.528037E+04   0.624423E+00  -0.101720E+02   0.258644E+07   0.233191E+04
   205   0.529018E+04   0.626494E+00  -0.891610E+01   0.257353E+07   0.231281E+04
   206   0.529936E+04   0.629494E+00  -0.764137E+01   0.256072E+07   0.229386E+04
   207   0.530805E+04   0.633442E+00  -0.634820E+01   0.254800E+07   0.227505E+04
   208   0.531603E+04   0.638391E+00  -0.503706E+01   0.253538E+07   0.225638E+04
   209   0.532345E+04   0.644361E+00  -0.370830E+01   0.252286E+07   0.223786E+04
   210   0.533031E+04   0.651402E+00  -0.236275E+01   0.251044E+07   0.221948E+04
   211   0.533660E+04   0.659542E+00  -0.100045E+01   0.249811E+07   0.220124E+04
   212   0.534218E+04   0.668811E+00   0.377705E+00   0.248587E+07   0.218314E+04
   213   0.534727E+04   0.679250E+00   0.177180E+01   0.247373E+07   0.216517E+04
   214   0.535172E+04   0.690851E+00   0.318067E+01   0.246168E+07   0.214735E+04
