#    L    TT             EE             TE             PP             TP          
   126   0.333636E+04   0.996605E+00  -0.364707E+02   0.392321E+07   0.477791E+04
   127   0.336876E+04   0.100265E+01  -0.369346E+02   0.389951E+07   0.472583E+04
   128   0.340116E+04   0.100834E+01  -0.373855E+02   0.387598E+07   0.467472E+04
   129   0.343361E+04   0.101355E+01  -0.378229E+02   0.385263E+07   0.462457E+04
   130   0.346606E+04   0.101825E+01  -0.382460E+02   0.382945E+07   0.457541E+04
   131   0.349848E+04   0.102262E+01  -0.386562E+02   0.380644E+07   0.452722E+04
   132   0.353097E+04   0.102648E+01  -0.390507E+02   0.378361E+07   0.447998E+04
   133   0.356337E+04   0.102993E+01  -0.394316E+02   0.376096E+07   0.443367E+04
   134   0.359577E+04   0.103296E+01  -0.397946E+02   0.373847E+07   0.438824E+04
   135   0.362815E+04   0.103549E+01  -0.401427E+02   0.371616E+07   0.434367E+04
   136   0.366039E+04   0.103753E+01  -0.404723E+02   0.369402E+07   0.429991E+04
   137   0.369261E+04   0.103915E+01  -0.407855E+02   0.367204E+07   0.425695E+04
   138   0.372477E+04   0.104028E+01  -0.410810E+02   0.365024E+07   0.421474E+04
   139   0.375670E+04   0.104105E+01  -0.413581E+02   0.362860E+07   0.417326E+04
   140   0.378870E+04   0.104126E+01  -0.416175E+02   0.360713E+07   0.413246E+04
   141   0.382049E+04   0.104098E+01  -0.418571E+02   0.358583E+07   0.409233E+04
   142   0.385228E+04   0.104027E+01  -0.420777E+02   0.356469E+07   0.405281E+04
   143   0.388401E+04   0.103914E+01  -0.422792E+02   0.354371E+07   0.401389E+04
   144   0.391552E+04   0.103752E+01  -0.424611E+02   0.352290E+07   0.397553E+04
   145   0.394690E+04   0.103555E+01  -0.426225E+02   0.350225E+07   0.393770E+04
   146   0.397836E+04   0.103301E+01  -0.427636E+02   0.348176E+07   0.390036E+04
   147   0.400947E+04   0.103012E+01  -0.428829E+02   0.346143E+07   0.386348E+04
   148   0.404045E+04   0.102674E+01  -0.429820E+02   0.344126E+07   0.382703E+04
   149   0.407137E+04   0.102293E+01  -0.430593E+02   0.342125E+07   0.379098E+04
   150   0.410201E+04   0.101878E+01  -0.431128E+02   0.340139E+07   0.375528E+04
   151   0.413253E+04   0.101420E+01  -0.431454E+02   0.338169E+07   0.371993E+04
   152   0.416278E+04   0.100913E+01  -0.431556E+02   0.336215E+07   0.368490E+04
   153   0.419289E+04   0.100371E+01  -0.431412E+02   0.334276E+07   0.365021E+04
   154   0.422281E+04   0.997935E+00  -0.431044E+02   0.332353E+07   0.361586E+04
   155   0.425253E+04   0.991810E+00  -0.430445E+02   0.330445E+07   0.358184E+04
   156   0.428189E+04   0.985332E+00  -0.429615E+02   0.328552E+07   0.354817E+04
   157   0.431120E+04   0.978499E+00  -0.428538E+02   0.326674E+07   0.351484E+04
   158   0.434024E+04   0.971385E+00  -0.427222E+02   0.324811E+07   0.348185E+04
   159   0.436899E+04   0.963840E+00  -0.425668E+02   0.322963E+07   0.344922E+04
   160   0.439755E+04   0.956012E+00  -0.423859E+02   0.321130E+07   0.341693E+04
   161   0.442590E+04   0.947973E+00  -0.421811E+02   0.319311E+07   0.338500E+04
   162   0.445397E+04   0.939575E+00  -0.419523E+02   0.317508E+07   0.335342E+04
   163   0.448191E+04   0.930889E+00  -0.416982E+02   0.315718E+07   0.332219E+04
   164   0.450943E+04   0.921990E+00  -0.414201E+02   0.313944E+07   0.329133E+04
   165   0.453681E+04   0.912802E+00  -0.411158E+02   0.312183E+07   0.326083E+04
   166   0.456392E+04   0.903472E+00  -0.407868E+02   0.310437E+07   0.323069E+04
   167   0.459082E+04   0.893777E+00  -0.404339E+02   0.308705E+07   0.320092E+04
   168   0.461729E+04   0.884086E+00  -0.400547E+02   0.306987E+07   0.317151E+04
   169   0.464348E+04   0.874101E+00  -0.396493E+02   0.305284E+07   0.314248E+04
   170   0.466939E+04   0.864045E+00  -0.392192E+02   0.303594E+07   0.311381E+04
   171   0.469487E+04   0.853916E+00  -0.387621E+02   0.301918E+07   0.308553E+04
   172   0.471999E+04   0.843638E+00  -0.382795E+02   0.300255E+07   0.305762E+04
   173   0.474469E+04   0.833211E+00  -0.377714E+02   0.298607E+07   0.303009E+04
   174   0.476910E+04   0.822930E+00  -0.372378E+02   0.296972E+07   0.300294E+04
   175   0.479316E+04   0.812497E+00  -0.366780E+02   0.295350E+07   0.297617E+04
   176   0.481670E+04   0.802135E+00  -0.360918E+02   0.293742E+07   0.294979E+04
   177   0.483990E+04   0.791766E+00  -0.354809E+02   0.292147E+07   0.292379E+04
   178   0.486266E+04   0.781611E+00  -0.348437E+02   0.290565E+07   0.289815E+04
   179   0.488500E+04   0.771373E+00  -0.341801E+02   0.288996E+07   0.287287E+04
   180   0.490705E+04   0.761271E+00  -0.334917E+02   0.287440E+07   0.284794E+04
   181   0.492861E+04   0.751304E+00  -0.327785E+02   0.285897E+07   0.282335E+04
   182   0.494973E+04   0.741544E+00  -0.320389E+02   0.284366E+07   0.279909E+04
   183   0.497036E+04   0.731914E+00  -0.312744E+02   0.282848E+07   0.277515E+04
   184   0.499064E+04   0.722488E+00  -0.304842E+02   0.281342E+07   0.275152E+04
   185   0.501049E+04   0.713412E+00  -0.296706E+02   0.279849E+07   0.272819E+04
   186   0.502955E+04   0.704543E+00  -0.288306E+02   0.278368E+07   0.270516E+04
   187   0.504849E+04   0.696021E+00  -0.279657E+02   0.276899E+07   0.268241E+04
   188   0.506693E+04   0.687827E+00  -0.270773E+02   0.275441E+07   0.265993E+04
   189   0.508480E+04   0.679998E+00  -0.261639E+02   0.273996E+07   0.263772E+04
   190   0.510254E+04   0.672584E+00  -0.252277E+02   0.272562E+07   0.261576E+04
   191   0.511943E+04   0.665605E+00  -0.242658E+02   0.271139E+07   0.259405E+04
   192   0.513597E+04   0.659082E+00  -0.232804E+02   0.269728E+07   0.257258E+04
   193   0.515194E+04   0.653057E+00  -0.222729E+02   0.268328E+07   0.255133E+04
   194   0.516757E+04   0.647557E+00  -0.212411E+02   0.266940E+07   0.253031E+04
   195   0.518264E+04   0.642619E+00  -0.201872E+02   0.265562E+07   0.250949E+04
   196   0.519715E+04   0.638278E+00  -0.191104E+02   0.264196E+07   0.248887E+04
   197   0.521124E+04   0.634575E+00  -0.180123E+02   0.262840E+07   0.246844E+04
   198   0.522484E+04   0.631532E+00  -0.168920E+02   0.261495E+07   0.244819E+04
   199   0.523796E+04   0.629184E+00  -0.157504E+02   0.260160E+07   0.242811E+04
   200   0.525059E+04   0.627559E+00  -0.145880E+02   0.258836E+07   0.240820E+04
   201   0.526267E+04   0.626714E+00  -0.134042E+02   0.257522E+07   0.238844E+04
   202   0.527426E+04   0.626655E+00  -0.122004E+02   0.256218E+07   0.236883E+04
   203   0.528529E+04   0.627440E+00  -0.109759E+02   0.254924E+07   0.234937E+04
   204   0.529568E+04   0.629091E+00  -0.973352E+01   0.253641E+07   0.233006E+04
   205   0.530559E+04   0.631652E+00  -0.847105E+01   0.252367E+07   0.231090E+04
   206   0.531487E+04   0.635157E+00  -0.718972E+01   0.251103E+07   0.229189E+04
   207   0.532365E+04   0.639629E+00  -0.588994E+01   0.249849E+07   0.227302E+04
   208   0.533173E+04   0.645117E+00  -0.457219E+01   0.248605E+07   0.225431E+04
   209   0.533924E+04   0.651644E+00  -0.323681E+01   0.247370E+07   0.223573E+04
   210   0.534620E+04   0.659259E+00  -0.188465E+01   0.246145E+07   0.221730E+04
   211   0.535259E+04   0.667992E+00  -0.515745E+00   0.244930E+07   0.219902E+04
   212   0.535826E+04   0.677870E+00   0.869012E+00   0.243723E+07   0.218087E+04
   213   0.536345E+04   0.688938E+00   0.226970E+01   0.242526E+07   0.216287E+04
   214   0.536800E+04   0.701186E+00   0.368515E+01   0.241339E+07   0.214501E+04
   215   0.537198E+04   0.714807E+00   0.511465E+01   0.240160E+07   0.212729E+04
   216   0.537533E+04   0.729614E+00   0.655875E+01   0.238991E+07   0.210970E+04
   217   0.537818E+04   0.745762E+00   0.801550E+01   0.237830E+07   0.209226E+04
   218   0.538040E+04   0.763248E+00   0.948514E+01   0.236678E+07   0.207495E+04
   219   0.538204E+04   0.782073E+00   0.109687E+02   0.235536E+07   0.205777E+04
   220   0.538312E+04   0.802383E+00   0.124617E+02   0.234401E+07   0.204073E+04
   221   0.538364E+04   0.824104E+00   0.139664E+02   0.233276E+07   0.202383E+04
   222   0.538358E+04   0.847382E+00   0.154815E+02   0.232159E+07   0.200705E+04
   223   0.538281E+04   0.872141E+00   0.170076E+02   0.231051E+07   0.199041E+04
   224   0.538162E+04   0.898382E+00   0.185411E+02   0.229951E+07   0.197390E+04
   225   0.537979E+04   0.926251E+00   0.200849E+02   0.228859E+07   0.195752E+04
   226   0.537738E+04   0.955746E+00   0.216355E+02   0.227775E+07   0.194126E+04
   227   0.537434E+04   0.986868E+00   0.231943E+02   0.226700E+07   0.192514E+04
   228   0.537079E+04   0.101961E+01   0.247599E+02   0.225633E+07   0.190914E+04
   229   0.536668E+04   0.105406E+01   0.263309E+02   0.224574E+07   0.189327E+04
   230   0.536192E+04   0.109020E+01   0.279079E+02   0.223522E+07   0.187752E+04
   231   0.535652E+04   0.112811E+01   0.294904E+02   0.222479E+07   0.186190E+04
   232   0.535061E+04   0.116771E+01   0.310768E+02   0.221443E+07   0.184640E+04
   233   0.534414E+04   0.120923E+01   0.326657E+02   0.220415E+07   0.183102E+04
   234   0.533694E+04   0.125252E+01   0.342578E+02   0.219394E+07   0.181576E+04
   235   0.532925E+04   0.129764E+01   0.358518E+02   0.218381E+07   0.180063E+04
   236   0.532091E+04   0.134460E+01   0.374477E+02   0.217376E+07   0.178561E+04
   237   0.531199E+04   0.139348E+01   0.390440E+02   0.216377E+07   0.177071E+04
   238   0.530250E+04   0.144434E+01   0.406407E+02   0.215386E+07   0.175593E+04
   239   0.529251E+04   0.149703E+01   0.422371E+02   0.214402E+07   0.174127E+04
   240   0.528179E+04   0.155163E+01   0.438312E+02   0.213426E+07   0.172672E+04
   241   0.527065E+04   0.160828E+01   0.454235E+02   0.212456E+07   0.171228E+04
   242   0.525894E+04   0.166684E+01   0.470134E+02   0.211493E+07   0.169796E+04
   243   0.524664E+04   0.172746E+01   0.485995E+02   0.210537E+07   0.168375E+04
   244   0.523377E+04   0.179005E+01   0.501826E+02   0.209588E+07   0.166965E+04
   245   0.522032E+04   0.185468E+01   0.517596E+02   0.208645E+07   0.165566E+04
   246   0.520637E+04   0.192137E+01   0.533322E+02   0.207709E+07   0.164179E+04
   247   0.519191E+04   0.199003E+01   0.548981E+02   0.206780E+07   0.162802E+04
   248   0.517688E+04   0.206104E+01   0.564574E+02   0.205857E+07   0.161436E+04
   249   0.516142E+04   0.213387E+01   0.580093E+02   0.204940E+07   0.160080E+04
   250   0.514537E+04   0.220896E+01   0.595525E+02   0.204029E+07   0.158735E+04
   251   0.512890E+04   0.228603E+01   0.610876E+02   0.203125E+07   0.157401E+04
   252   0.511177E+04   0.236529E+01   0.626133E+02   0.202227E+07   0.156077E+04
   253   0.509436E+04   0.244652E+01   0.641280E+02   0.201335E+07   0.154763E+04
   254   0.507636E+04   0.253002E+01   0.656318E+02   0.200449E+07   0.153460E+04
   255   0.505786E+04   0.261550E+01   0.671247E+02   0.199569E+07   0.152167E+04
   256   0.503893E+04   0.270333E+01   0.686067E+02   0.198695E+07   0.150884E+04
   257   0.501956E+04   0.279307E+01   0.700698E+02   0.197827E+07   0.149610E+04
   258   0.499968E+04   0.288509E+01   0.715264E+02   0.196964E+07   0.148347E+04
   259   0.497938E+04   0.297924E+01   0.729618E+02   0.196108E+07   0.147093E+04
   260   0.495871E+04   0.307553E+01   0.743909E+02   0.195257E+07   0.145849E+04
   261   0.493753E+04   0.317388E+01   0.757914E+02   0.194412E+07   0.144615E+04
   262   0.491584E+04   0.327453E+01   0.771856E+02   0.193573E+07   0.143390E+04
   263   0.489401E+04   0.337724E+01   0.785662E+02   0.192739E+07   0.142175E+04
   264   0.487160E+04   0.348209E+01   0.799256E+02   0.191911E+07   0.140969E+04
   265   0.484868E+04   0.358902E+01   0.812565E+02   0.191088E+07   0.139772E+04
   266   0.482547E+04   0.369825E+01   0.825812E+02   0.190271E+07   0.138584E+04
   267   0.480175E+04   0.380940E+01   0.838775E+02   0.189459E+07   0.137406E+04
   268   0.477767E+04   0.392286E+01   0.851602E+02   0.188653E+07   0.136236E+04
   269   0.475307E+04   0.403832E+01   0.864219E+02   0.187852E+07   0.135075E+04
   270   0.472826E+04   0.415586E+01   0.876626E+02   0.187056E+07   0.133924E+04
   271   0.470302E+04   0.427542E+01   0.888824E+02   0.186266E+07   0.132780E+04
   272   0.467755E+04   0.439729E+01   0.900739E+02   0.185480E+07   0.131646E+04
   273   0.465165E+04   0.452087E+01   0.912518E+02   0.184700E+07   0.130520E+04
   274   0.462545E+04   0.464677E+01   0.923941E+02   0.183925E+07   0.129402E+04
   275   0.459889E+04   0.477447E+01   0.935229E+02   0.183155E+07   0.128293E+04
   276   0.457212E+04   0.490419E+01   0.946160E+02   0.182390E+07   0.127193E+04
   277   0.454490E+04   0.503593E+01   0.956957E+02   0.181630E+07   0.126100E+04
   278   0.451746E+04   0.516962E+01   0.967398E+02   0.180875E+07   0.125015E+04
   279   0.448973E+04   0.530519E+01   0.977557E+02   0.180125E+07   0.123939E+04
   280   0.446171E+04   0.544265E+01   0.987583E+02   0.179379E+07   0.122870E+04
   281   0.443355E+04   0.558206E+01   0.997253E+02   0.178639E+07   0.121809E+04
   282   0.440494E+04   0.572313E+01   0.100664E+03   0.177903E+07   0.120756E+04
   283   0.437619E+04   0.586610E+01   0.101575E+03   0.177171E+07   0.119711E+04
   284   0.434721E+04   0.601087E+01   0.102458E+03   0.176445E+07   0.118673E+04
   285   0.431802E+04   0.615747E+01   0.103312E+03   0.175723E+07   0.117643E+04
   286   0.428853E+04   0.630574E+01   0.104131E+03   0.175005E+07   0.116620E+04
   287   0.425882E+04   0.645568E+01   0.104930E+03   0.174292E+07   0.115605E+04
   288   0.422896E+04   0.660729E+01   0.105693E+03   0.173583E+07   0.114596E+04
   289   0.419888E+04   0.676051E+01   0.106428E+03   0.172879E+07   0.113595E+04
   290   0.416865E+04   0.691519E+01   0.107135E+03   0.172179E+07   0.112601E+04
   291   0.413828E+04   0.707207E+01   0.107800E+03   0.171484E+07   0.111614E+04
   292   0.410746E+04   0.723004E+01   0.108444E+03   0.170792E+07   0.110634E+04
   293   0.407678E+04   0.738872E+01   0.109045E+03   0.170105E+07   0.109660E+04
   294   0.404581E+04   0.754962E+01   0.109625E+03   0.169422E+07   0.108693E+04
   295   0.401491E+04   0.771124E+01   0.110164E+03   0.168743E+07   0.107733E+04
   296   0.398372E+04   0.787508E+01   0.110674E+03   0.168068E+07   0.106779E+04
   297   0.395244E+04   0.803890E+01   0.111156E+03   0.167398E+07   0.105832E+04
   298   0.392095E+04   0.820493E+01   0.111596E+03   0.166731E+07   0.104891E+04
   299   0.388945E+04   0.837244E+01   0.112001E+03   0.166068E+07   0.103957E+04
   300   0.385779E+04   0.853995E+01   0.112370E+03   0.165409E+07   0.103028E+04
   301   0.382606E+04   0.870893E+01   0.112712E+03   0.164754E+07   0.102106E+04
   302   0.379433E+04   0.887866E+01   0.113026E+03   0.164102E+07   0.101189E+04
   303   0.376252E+04   0.904987E+01   0.113297E+03   0.163455E+07   0.100279E+04
   304   0.373063E+04   0.922258E+01   0.113526E+03   0.162811E+07   0.993750E+03
   305   0.369873E+04   0.939529E+01   0.113727E+03   0.162170E+07   0.984769E+03
   306   0.366676E+04   0.956875E+01   0.113892E+03   0.161534E+07   0.975850E+03
   307   0.363478E+04   0.974298E+01   0.114015E+03   0.160901E+07   0.966991E+03
   308   0.360279E+04   0.991945E+01   0.114117E+03   0.160272E+07   0.958194E+03
   309   0.357087E+04   0.100952E+02   0.114169E+03   0.159646E+07   0.949457E+03
   310   0.353886E+04   0.102710E+02   0.114194E+03   0.159024E+07   0.940782E+03
   311   0.350693E+04   0.104490E+02   0.114175E+03   0.158406E+07   0.932168E+03
   312   0.347506E+04   0.106263E+02   0.114128E+03   0.157791E+07   0.923615E+03
   313   0.344318E+04   0.108044E+02   0.114038E+03   0.157180E+07   0.915123E+03
   314   0.341137E+04   0.109833E+02   0.113921E+03   0.156572E+07   0.906692E+03
   315   0.337962E+04   0.111615E+02   0.113760E+03   0.155967E+07   0.898322E+03
   316   0.334793E+04   0.113404E+02   0.113564E+03   0.155366E+07   0.890014E+03
   317   0.331631E+04   0.115187E+02   0.113332E+03   0.154769E+07   0.881767E+03
   318   0.328476E+04   0.116985E+02   0.113064E+03   0.154174E+07   0.873582E+03
   319   0.325334E+04   0.118776E+02   0.112761E+03   0.153584E+07   0.865458E+03
   320   0.322205E+04   0.120568E+02   0.112430E+03   0.152996E+07   0.857395E+03
   321   0.319083E+04   0.122368E+02   0.112055E+03   0.152412E+07   0.849393E+03
